Title,Body,Labels,Assignees,Milestone
Notificaciones Slack: resumen de run y manejo de errores,Refactor notifier para usar chat.postMessage + fallback de archivo si aplica. Evitar métodos deprecated.,"P0,backend,notifications,slack,ops",,M4 - Scraper Control
Dashboard básico (KPIs run actual y últimos 30),"UI /dashboards/overview: tarjetas KPIs, charts mínimos (artículos/día, duración). Server-side fetch.","P0,frontend,analytics,ui",,M5 - BI básico
"CI/CD GitHub Actions (lint, test, build, docker)",Workflow para web y api; cache de deps; build/push a registry; branch protections.,"P0,infra,ci,devx",,M0 - Fundaciones
Buscador full-text (Postgres tsvector) en artículos,Crear índice GIN; endpoint de búsqueda con ranking/ts_headline. UI de búsqueda avanzada.,"P1,backend,db,frontend,search",,M6 - UX & Robustez
Reconciliación de entidades (merge/split),Endpoints y UI para fusionar entidades duplicadas; mantener audit log y reindexar vínculos.,"P1,backend,frontend,entities,data-quality",,M6 - UX & Robustez
Validaciones de calidad del dato previas a insert,"Reglas para URL canónica, fechas, longitudes mínimas; métricas en v_run_summary.","P1,backend,db,data-quality",,M6 - UX & Robustez
Paginación eficiente y cursores en API,Cambiar offset por cursor-keyset donde aplique. Documentar límites.,"P1,backend,api,performance",,M6 - UX & Robustez
Mejoras de accesibilidad (a11y) y navegación,"Roles aria, foco, atajos teclado (k), contraste, tests básicos con axe.","P1,frontend,ui,a11y",,M6 - UX & Robustez
"Dashboards avanzados (cohortes, distribución de polaridad, NER por fuente)",Vistas y queries optimizadas; charts interactivos; export CSV/PNG.,"P2,frontend,analytics,backend",,M7 - BI Avanzado
Capa de caching (Redis) para endpoints de lectura pesada,Cache con invalidación por tabla/entidad; TTLs por vista.,"P2,backend,performance,cache",,M8 - Escalabilidad
"Hardening seguridad (CSP, rate limiting, audit trail ampliado)","CSP estricta, helmet headers (Next), rate limit en FastAPI, auditoría extendida.","P2,security,backend,frontend",,M8 - Escalabilidad
Infra-as-code (Docker Compose/K8s opcional),Definir docker-compose para dev y prod; opcional: charts Helm para k8s.,"P2,infra,ops",,M8 - Escalabilidad
"Observabilidad (logging estructurado, métricas, tracing)","Log JSON, Prometheus metrics (api), trace básico (OpenTelemetry). Dash Kibana/Grafana.","P2,observability,backend,ops",,M8 - Escalabilidad
Documentación de usuario y runbooks,"Guías de uso de interfaz, bulk ops, programación de scrapes. Runbooks de incidentes comunes.","P2,docs,ops",,M9 - Cierre MVP+
QA: test e2e smoke (Playwright),"Flujos críticos: login, listar/filtrar, editar entidad, bulk ops, crear job, ver dashboard.","P2,qa,frontend,tests",,M9 - Cierre MVP+
GOOD FIRST ISSUE: Componente Badge de roles,Badge visual (admin/read) reutilizable en tablas y vistas de detalle.,"good first issue,frontend,ui,P2",,M6 - UX & Robustez
GOOD FIRST ISSUE: Script de seed (usuarios/fuentes dummy),Script que crea usuario admin/read y 2 fuentes demo para desarrollo.,"good first issue,backend,devx,P2",,M0 - Fundaciones
